\alpha	E	\sigma^2
0.150000	0.909502	1.132393
0.200000	0.724920	0.550460
0.250000	0.625701	0.277745
0.300000	0.564566	0.139440
0.350000	0.533702	0.067740
0.400000	0.513495	0.025616
0.450000	0.503435	0.005734
0.500000	0.500000	0.000000
0.550000	0.502083	0.004538
0.600000	0.508510	0.016693
0.650000	0.517679	0.034732
0.700000	0.529856	0.057250
0.750000	0.542088	0.085795
0.800000	0.555855	0.120654
0.850000	0.569852	0.157888
0.900000	0.588271	0.192660
0.950000	0.606408	0.236005
1.000000	0.623568	0.283092
1.050000	0.645118	0.328305
1.100000	0.665058	0.376880
time(s)	45.858605
