\alpha	E	\sigma^2
0.150000	22.641678	29.143751
0.200000	17.625630	12.040088
0.250000	15.744702	7.119602
0.300000	14.304062	3.698765
0.350000	13.224530	1.742163
0.400000	12.722376	0.669080
0.450000	12.562775	0.145387
0.500000	12.499999	0.000000
0.550000	12.553634	0.111741
0.600000	12.679590	0.412593
0.650000	12.970998	0.847993
0.700000	13.172805	1.497711
time(s)	2986.115693
0.150000	22.641678	29.143751
0.200000	17.625630	12.040088
0.250000	15.744702	7.119602
0.300000	14.304062	3.698765
0.350000	13.224530	1.742163
0.400000	12.722376	0.669080
0.450000	12.562775	0.145387
0.500000	12.499999	0.000000
0.550000	12.553634	0.111741
0.600000	12.679590	0.412593
0.650000	12.970998	0.847993
0.700000	13.172805	1.497711
time(s)	3015.493396
0.150000	22.641678	29.143751
0.200000	17.625630	12.040088
0.250000	15.744702	7.119602
0.300000	14.304062	3.698765
0.350000	13.224530	1.742163
0.400000	12.722376	0.669080
0.450000	12.562775	0.145387
0.500000	12.499999	0.000000
0.550000	12.553634	0.111741
0.600000	12.679590	0.412593
0.650000	12.970998	0.847993
0.700000	13.172805	1.497711
time(s)	3040.394151
0.150000	22.641678	29.143751
0.200000	17.625630	12.040088
0.250000	15.744702	7.119602
0.300000	14.304062	3.698765
0.350000	13.224530	1.742163
0.400000	12.722376	0.669080
0.450000	12.562775	0.145387
0.500000	12.499999	0.000000
0.550000	12.553634	0.111741
0.600000	12.679590	0.412593
0.650000	12.970998	0.847993
0.700000	13.172805	1.497711
time(s)	40.315699
