\alpha	E	\sigma^2
0.150000	90.739030	114.279752
0.200000	72.459245	55.097071
0.250000	62.503999	28.061240
0.300000	56.667677	14.267039
0.350000	53.230286	6.618405
0.400000	51.236366	2.517334
0.450000	50.277268	0.555822
0.500000	50.000000	0.000000
0.550000	50.227768	0.453351
0.600000	50.831606	1.671340
0.650000	51.728561	3.520752
0.700000	52.860267	5.904543
0.750000	54.152792	8.729312
0.800000	55.630581	11.819364
0.850000	57.195836	15.537209
0.900000	58.896503	19.284788
0.950000	60.633768	23.628648
1.000000	62.481479	28.250055
1.050000	64.415704	32.855688
1.100000	66.350927	38.118853
time(s)	33781.369701
